start	end	text
366040	370160	They made the problem a lot easier to think about, and in general, whenever you've added
370160	374960	something to the problem setup that makes it conceptually easier, see if you can reframe
374960	378960	the entire question in terms of those things that you just added.
378960	385120	In this case, rather than thinking about choosing three points randomly, start by saying choose
385120	388540	two random lines that pass through the circle center.
388540	392080	For each line, there's two possible points that it could correspond to, so just flip
392080	396520	a coin for each one to choose which of the endpoints is going to be P1, and likewise
396520	399560	for the other, which endpoint is going to be P2.
399560	403360	Choosing a random line and flipping a coin like this is the same thing as choosing a
403360	407680	random point on the circle, it just feels a little bit convoluted at first.
407680	411360	But the reason for thinking about the random process this way is that things are actually
411360	412960	about to become easier.
413520	418160	We'll still think about that third point P3 as just being a random point on the circle,
418160	423680	but imagine that it was chosen before you do the two coin flips, because you see, once
423680	428200	the two lines and that third point are set in stone, there's only four possibilities
428200	433840	for where P1 and P2 might end up, based on those coin flips, each one being equally likely.
433840	439560	But one and only one of those four outcomes leaves P1 and P2 on the opposite side of the
439560	444000	circle as P3, with the triangle that they form containing the center.
444000	448520	So no matter where those two lines end up and where that P3 ends up, it's always a
448520	453320	one-fourth chance that the coin flips leave us with a triangle containing the center.
455720	457120	Now that's very subtle.
457120	461600	Just by reframing how we think about the random process for choosing points, the answer one
461600	465440	quarter popped out in a very different way from how it did before.
465440	471200	And importantly, this style of argument generalizes seamlessly up into three dimensions.
471200	476520	Again, instead of starting off by picking four random points, imagine choosing three random
476520	483480	lines through the center of the sphere, and then some random point for P4.
483480	487120	That first line passes through the sphere at two points, so flip a coin to decide which
487120	489520	of those two points is going to be P1.
489520	495280	Likewise, for each of the other lines, flip a coin to decide where P2 and P3 end up.
495280	499840	Now there's eight equally likely outcomes of those coin flips, but one and only one
499840	506440	of them is going to place P1, P2, and P3 on the opposite side of the center as P4.
506440	511800	So one and only one of these eight equally likely outcomes gives us a tetrahedron that
511800	513920	contains the center.
513920	520880	Again, it's kind of subtle how that pops out to us, but isn't that elegant?
520880	524640	This is a valid solution to the problem, but admittedly the way that I've stated it so
524640	527480	far rests on some visual intuition.
527480	530600	If you're curious about how you might write it up in a way that doesn't rely on visual
530600	534320	intuition, I've left a link in the description to one such write-up in the language of linear
534320	536440	algebra if you're curious.
536440	541280	And this is pretty common in math, where having the key insight and understanding is one thing,
541280	546000	but having the relevant background to articulate that understanding more formally is almost
546000	550280	a separate muscle entirely, one that undergraduate math students kind of spend most of their
550280	552280	time building up.
552280	557480	But the main takeaway here is not the solution itself, but how you might find that key insight
557480	560320	if it was put in front of you and you were just left to solve it.
560320	564280	Namely, just keep asking simpler versions of the question until you can get some kind
564280	565520	of foothold.
565520	570560	And then when you do, if there's any kind of added construct that proves to be useful,
570560	575760	see if you can reframe the whole question around that new construct.
575760	579240	To close things off here, I've got another probability puzzle, one that comes from this
579240	581520	video sponsor, Brilliant.org.
581520	585120	Suppose that you have eight students sitting in a circle taking the puttnam.
585120	589360	It's a hard test, so each student tries to cheat off of his neighbor, choosing randomly
589360	591680	which neighbor to cheat from.
591680	596960	Now circle all of the students that don't have somebody cheating off of their test.
596960	600240	What is the expected number of such circled students?
600240	603440	It's an interesting question, right?
603440	607120	Brilliant.org is a site where you can practice your problem-solving abilities with questions
607120	611080	like this and many, many more, and that really is the best way to learn.
611080	614640	You're going to find countless interesting questions curated in a pretty thoughtful way
614640	618160	so that you really do come away better at problem-solving.
618160	621880	If you want more probability, they have a really good course on probability, but they've
621880	625080	got all sorts of other math and science as well, so you're almost certainly going to
625080	626760	find something that interests you.
626760	627760	Me?
627760	632920	I've been a fan for a while, and if you go to Brilliant.org slash 3B1B, it lets them know
632920	638700	that you came from here, and the first 256 of you to visit that link can get 20% off their
638700	642320	premium membership, which is the one I use if you want to upgrade.
642320	646800	Also, if you're just itching to see a solution to this puzzle, which, by the way, uses a
646800	651160	certain tactic and probability that's useful in a lot of other circumstances, I also left
651160	653720	a link in the description that just jumps you straight to the solution.
668720	669720	Thank you.
669720	670720	Bye.
670720	671720	Bye.
671720	671740	Bye.
